RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31
102001,0,United States,country,,376083.0434086052,375052.0081237766,390856.5635754691,392051.5522903564,402396.80193100794,411191.12811416504,407567.46700704587,420066.7035724704,417815.58604264987,430572.64494567324,430886.3429848581,437126.4061942478,405396.19409374654,403478.2054924615,419376.88166610774,426248.72285456967,434145.82169244916,432538.71756649594,443988.0682429251,447558.0238134879,437841.75834190665,444978.96426686377,443265.0471475962,445232.3120608899,435221.265412914,431803.536401104,429035.558466349,413374.3419893498,405140.01733747637,422880.6194292676,445772.8790476368,453534.9300073695,470727.52942392434,475582.30696478515,472231.56435335195,488516.1583132773,447023.7342212309,454964.0750458276,465092.7920419581,471297.5974750258,473997.77160337236,480052.0990148109,485604.3370590321,479928.73111082014,488915.36963078525,506487.0129487894,507896.13341831724,513503.49435969075,492236.0373948905,498268.40094883804,503564.0214784033,515163.95068169624,524504.6242625323,527146.0171896628,529839.8402658325,530757.1252998116,525393.1199793471,538652.9281869907,533143.381276123,529117.9285946762,507776.06149601546,508286.60257904656,514855.1055141679,516023.78628004726,522300.44678546867,532271.3197808436,524555.6122078184,530516.01785718,530403.5232727688,538186.7436223258,528561.9487048853,535492.6890571986,526186.9777528737,521255.2245377492,530876.8707325008,543034.0589370439,547273.5158647095,535537.5415917858,538703.9878101739,549015.852722032,548576.0749587165,578584.7822144455,590408.7805055847,597785.2277497725,604222.6229134791,600194.2043679529,595420.9068855419
394913,1,"New York, NY",msa,NY,773846.7568306011,763700.4666666667,825347.4102564103,842955.6208955224,841857.2206703911,886523.8397129186,851392.0026178011,872046.5035460993,734258.2211538461,871532.1132596685,927903.2958199357,905361.6875,762813.0712166172,837243.7094017094,840786.2024922118,795275.8938906753,940129.6225961539,910674.9093567252,892774.7816893733,921828.1714480874,875628.7142857143,921790.3352272727,881847.3652482269,962251.1806784661,965146.5127388535,888899.4867549669,848690.6261398176,954301.4925925926,847121.9400749063,888450.7427055703,960230.4674157304,981434.4050104384,1062877.975929978,991239.5963855422,985266.1345177665,1030394.899122807,906326.7282051282,930842.4052631579,1007566.5925058548,948922.1837209302,1026105.1838440112,1068100.7617801046,1064979.9465875372,1012488.4086956521,1099891.3039513677,1073739.0925373135,1004673.5225225225,1057341.5104408353,1177309.0332409972,1132940.1583577713,1051300.3885869565,1104373.8183285303,1127042.0927089336,1160295.0403225806,1149733.5167173252,1256518.7080924856,1012294.2915254238,1218219.5077160494,1152289.962536023,1138528.7755775577,1036696.7228915662,1158816.7790262173,1136667.547337278,1198271.68359375,1142564.680851064,1327870.6745406825,1267779.6043165468,1311781.6595174263,1162985.159874608,1212851.5738255035,1310292.1549295774,1280661.7429718876,1104346.7466666666,1269980.7863636364,1296885.3983739838,1322450.4279661018,1508440.7365079366,1438469.4466403162,1452573.78515625,1662283.3248175182,1557827.8849557522,1261193.2142857143,1416723.0212765958,1430216.8949771689,1472766.9673913044,1438105.0152898552,1432434.397515528
753899,2,"Los Angeles, CA",msa,CA,1445774.8790697674,1456897.7747747747,1665729.267759563,1616107.0528455283,1864575.2767527676,1825500.3169014084,1559122.652892562,1730863.9528985508,1780702.3539325842,1892984.0142857144,1566022.935,1575993.6893203883,1607026.629213483,1445853.087912088,1605826.8015564203,1617293.755186722,1666510.4140969163,1801133.053475936,1821254.0387931035,1985904.3296089387,1877903.6526946109,2123562.3949044584,2003817.28125,1720608.4773869347,1777250.7391304348,1982486.3488372094,2003865.6178343948,2059317.7865168538,1951714.0784313725,1952190.1860465116,1947456.5421686748,2086164.8166666667,2241358.6078431373,1950074.0717703348,2240806.695,1991154.164874552,2089023.927536232,1970039.9704142013,2053133.6747572816,2250740.411764706,2064211.0520833333,2099034.2018779344,2020638.6079545454,2116971.9929577466,2131261.587301587,2082502.4929577464,2080497.55625,1935374.4352941175,2028854.8217054263,2023853.2658227847,2090191.5573770492,2265294.1029411764,2448061.7746478873,2347190.149253731,2391934.048076923,2210178.08,2110684.078125,2162626.053097345,1957559.512195122,1881993.24,1861463.78125,1771837.8270676692,2176767.7860103627,1704601.7718120806,1867126.6857142858,2051098.4301675977,1816267.4871794872,1920813.6091954024,2110523.6379310344,1927521.7784810127,1767011.1462264152,1837154.664864865,1921050.272,1764257.8707482994,2036662.8348214286,1726408.424778761,2012443.859223301,1893830.8446601941,2128376.203125,1909207.6541353383,2347111.585858586,2149758.08,2135762.6788990824,2264741.777027027,2936750.4111111113,2542812.757575758,2264588.7647058824
394463,3,"Chicago, IL",msa,IL,567394.102661597,500017.97685185185,458639.15357142856,543847.2935153584,545405.8470948013,536696.0865051904,454030.02857142856,440344.9138576779,488196.22,454834.87372013653,443473.1220472441,430654.9612403101,452048.97191011236,466395.3476190476,478164.57651245553,514866.5153846154,511764.0942760943,554639.148,612844.403041825,511032.9353612167,464177.29545454547,535563.323275862,491901.9696969697,534529.4979079498,434423.42937853106,480964.63333333336,541764.3063829787,476978.0343137255,481179.0833333333,546578.6567164179,498625.00964630226,542149.9223602484,545204.1104294478,551041.6296296297,469643.8260124611,523694.7204968944,510546.6551724138,478525.328125,493172.2445652174,499591.1945288754,492434.4633431085,527373.1252987013,573548.2035398231,539781.4365482234,528420.4214876033,621092.8047493404,600102.6313253012,600677.7049549549,547355.1748466258,583355.1782729805,575144.8146788991,590694.9770354906,577156.3004201681,661809.6335174954,644199.4444444445,558836.2600806452,583765.6231578947,558463.2671755726,585528.0501193317,567063.9250645995,538885.9819494585,494047.644012945,565421.2911392405,576138.2298578199,613238.2399049881,607948.233067729,596844.6666666666,562072.0778443114,594007.2981651376,580322.4486215538,656265.85546875,620179.3237822349,609796.0975609756,618836.5162094763,614581.7904761905,642446.585011236,666952.3557833656,649603.910243309,664514.5627751197,643039.3837061404,614271.6867318435,633202.9410215054,685330.4684130984,698450.4732857142,723647.1946902655,672714.3721973094,769168.2462686567
394514,4,"Dallas, TX",msa,TX,360530.04090267984,372384.8868928809,382579.84784735815,374556.0102622577,407798.14049586776,405883.01179245283,399097.9647766323,412828.54382826475,398715.3413830955,414578.74623115576,398500.9349030471,406539.39130434784,381019.59972105996,390625.09744779585,391632.5633445946,399719.9300492611,414815.43618202,430869.898241206,419209.21555252385,411094.4099560761,438684.3875379939,403881.3231382979,394632.2337837838,415246.7565725414,404612.4039497307,415524.87706146925,416767.0289308176,411971.8143074581,389116.11686390534,414404.25544554455,423284.52042801556,400364.23031026253,410394.795221843,420585.57793764985,415548.4626647145,418722.4931034483,413281.8617594255,427691.9417293233,443130.6416772554,450694.59018759016,414850.6409903714,414100.8809869376,460740.88628158846,458518.3520661157,436461.4308131241,431202.36734693876,459275.7332457293,444137.79098679096,451962.03373493976,453690.2203579418,471085.3371735791,473595.53685168334,506001.6286215979,522414.04177323106,521715.1023302938,509408.14345637587,494761.920722135,506113.7468805704,508046.71011235955,485923.16002098634,494248.8931364031,478326.92908653844,490802.67291471415,499140.02099031216,502500.27466534456,506528.2957457714,502101.6602440591,513226.7086521483,517990.29987046635,501457.5773480663,503698.0237923576,507193.22325870645,489518.8519458545,474929.48619186046,503294.66190180235,497769.7945026178,505323.41494329553,490737.3429530201,516835.22785768355,516489.0197044335,543614.8155430711,544003.8168016195,592156.8275084555,611574.9302083333,554223.7574626865,555371.0476190476,574160.8245614035
394692,5,"Houston, TX",msa,TX,330928.0062063615,342362.7962239583,336447.2576443941,340563.6867881549,353055.0851963746,406093.29836512264,376741.1266726137,385706.91580916743,437995.81515957444,389062.3702290076,391060.54626865673,398336.0659599529,368709.8065843621,355270.1043478261,380181.7738693467,404584.81197604793,391538.11198945984,416236.7068965517,411881.24363057327,420110.11967213114,412808.42911877396,428260.2166998012,429897.6237458194,401410.8135426889,349472.39240506326,383197.8095909732,372136.2862903226,373484.80303030304,366248.3558106169,379763.8815217391,407699.6188436831,367068.3411619283,387272.22798552475,398505.71878515184,383510.21313364053,436164.17922606925,368237.6357504216,399509.362745098,454973.2428842505,404930.2774070543,390289.388940956,435150.34791889007,425957.8556213018,442487.1649159664,422111.0134529148,409039.9792099792,400677.19891500904,403181.8122406639,390684.13083333336,405335.4905897114,411967.2512218964,414738.9869888476,417998.68240584596,429775.86430062633,415074.75230660045,422540.7913760304,431563.6335740072,420513.83251533745,415417.35668040026,424384.7818181818,391626.4611280488,386541.206064009,417269.52899513056,426469.56587136927,430560.9786324786,417298.4812103465,433412.9706601467,419291.7292397661,414474.9075927016,401918.3515151515,402323.0612350804,425700.75489130436,398719.89572393097,394759.88402501424,418605.9667560322,437482.13371104817,420216.1403785489,408981.4482758621,424673.91709183675,437980.0803906837,409122.84800601954,444581.27180899907,419372.5503355705,476788.7642140468,427414.26451612904,427984.18276762404,460199.65442176873
395209,6,"Washington, DC",msa,VA,568016.4048884165,538039.1975757576,573304.9213174748,570443.702366127,588041.8423913043,585743.1175847457,599855.4804318489,629187.651022864,638225.025817556,650561.9155722327,648569.8486707567,663908.4634655532,582228.6215213358,564512.0981308412,603699.5813528337,658786.4208494208,669722.1777777778,681295.9563409564,683323.2093663912,810656.5383939395,738388.6588275862,713966.0413422819,749995.7704918033,737933.1637630662,753432.1794871795,725841.7101626016,735326.4802431611,824845.4128308825,756727.9323404256,710012.8796276596,835635.6612568306,778443.0597014925,805755.7435897436,796789.4373576309,728794.758152174,751870.8403950616,730717.8670666667,780283.5230263158,768234.2072148541,783206.8983451537,755018.1016707022,721195.4125185185,810851.2720221606,790383.8753180661,781754.8096514746,837118.8310173696,792454.3927948719,793366.4002967359,760145.0933263159,763740.717112403,784002.8320717781,755882.5840784314,786280.4666666667,767472.9949409781,841632.5375,720503.6019047619,742256.2199170125,774289.7505376344,759055.2538631347,796645.28515625,704581.905,788398.2191142191,807483.6007005255,796813.0253164558,770298.7491408935,838067.3474426807,815436.5966542751,842672.818018018,762974.815018315,789667.2075848304,769999.885177453,797360.9508196721,857963.2456575682,803292.1255506608,847051.4847937132,890402.7442405063,860060.0589205703,906259.396475771,872850.4530946882,902963.556629956,876003.4626436782,919631.6754782607,888280.2030640668,998983.7270471464,902421.5023696682,1134912.6818181819,1156111.6753246754
394974,7,"Philadelphia, PA",msa,PA,467325.40549828176,469213.0,503443.0627802691,513569.4129554656,437750.55185185187,479566.0572519084,533519.601010101,494069.216,471918.2272727273,508518.56953642383,519037.6666666667,455658.47340425535,454086.66834170854,473338.97647058824,445256.7162790698,473381.3603238866,461562.9512195122,524836.1818181818,468517.6129032258,478695.66847826086,443562.496350365,477745.4,481119.29411764705,508419.72180451127,465893.8848920863,467040.27966101695,445169.02302325575,451069.80916030536,487831.56880733947,470865.8461538461,445871.30805687205,480868.12554112554,488795.56768558954,547364.9433962264,517098.35495238093,517799.62450592883,561324.2339449541,508820.2911392405,536176.8557377049,551751.3667711599,537713.0409556314,539966.2258064516,556243.7373737374,572374.9029310344,546990.4249152542,580179.3864306784,587199.1443113772,607309.1309012875,579716.0423728813,518915.5462184874,553940.9754299754,563705.3011363636,620756.4094505494,605570.7787356322,603621.1203438395,598240.5841924399,609773.3800000001,625306.9616613418,600164.6853932585,650762.3384615384,627917.4830396476,642915.0502793296,655553.0485074627,684227.591958042,642600.0753424658,712226.552631579,656938.7963636364,668303.127340824,613568.0119396552,620465.6708333333,616835.0801526718,620837.2378640777,601820.6274509804,627298.0216450216,631495.0539272727,633972.2253903345,704346.2079166666,637549.8439748953,702508.2262443439,683896.33203125,698398.3111650485,730722.822107843,769888.8638888889,652786.3351098901,698269.8207874016,688381.025862069,678249.3185840708
394856,8,"Miami, FL",msa,FL,578205.6052631579,581713.7151515152,613611.573630137,592069.4357429718,551993.7714285714,568700.1833099824,625085.9035639412,502588.4622030238,523330.9722921914,569429.5761904762,592355.0317460317,546317.1105398458,627480.8548387097,660723.8607594937,745260.1861471861,773744.6306306307,730184.3489361702,721602.4405940594,774867.9103773584,794713.009478673,917567.2356020942,801034.3195266272,779499.2413793104,699167.6698564594,803347.9801324503,921124.0071942447,874802.7720207254,696414.0088636364,774925.3266666667,887882.8019323671,883217.9026217229,830276.6134751773,984815.5866141733,891956.2923076923,1057249.295,1102155.456445993,1103300.6666666667,1076034.1068376068,1257981.2848297213,1124545.3037037037,1217804.034334764,1197187.0833333333,1129469.8416289592,1152673.3574879228,1119956.9043668122,1110295.6425120772,1105866.7259615385,1141544.0965732087,1232710.1658031088,1385541.4361702127,1464719.2457627119,1380753.75,1351166.4932735425,1273085.439834025,1235082.105263158,1074163.1329218107,1062269.2706766918,1048851.526748971,902891.22265625,1039392.261484099,1206913.4632352942,1069481.0203589743,1115090.3370370371,1251102.4753363228,1080798.115942029,1225818.074468085,1122938.995951417,1108563.8925925926,1196509.3260869565,1141068.700421941,1129969.5,1046913.8661971831,1407980.0294117648,1206595.3524418606,1467044.25,1611803.357142857,1563007.4830508474,1359965.8633879782,1380722.1333333333,1282956.9347826086,1748169.6408450704,1843577.9491525423,1605554.3037037037,1802068.2142857143,2221609.9493670887,2013005.9894736842,1713905.4363636363
394347,9,"Atlanta, GA",msa,GA,297391.2340710932,310520.0545037292,320668.48095456633,325415.42285714287,338303.4596451059,341009.8317757009,333108.9921925829,334914.1965397924,334266.5638214565,356750.12489082967,363205.4960835509,338049.5837387074,320734.17881548975,328600.6040462428,341990.0739130435,348097.34509202454,342573.582278481,348400.2593155893,347008.74051593326,347784.20356037153,361204.38099173555,353793.4302019315,350999.5494313211,352969.4644846797,345786.1191294387,361078.89159067883,350659.3954619125,348811.4042194093,341254.6285028022,354283.41259931895,360908.047537228,363179.3420548819,364991.4486592544,357222.4197031039,385512.9079245283,371932.1730038023,352982.5764705882,358074.5128824477,385669.2113022113,384943.96480938414,411727.60428994085,410415.24363636365,394498.744341995,412368.50585058506,401805.8844339623,427473.3665716999,435244.0077942323,453288.7701307967,431687.4373259053,438271.9666958808,469421.1118836915,464626.9382022472,488844.26339285716,515042.1002766252,507511.89367088606,506828.8075079872,508681.8052673583,514482.93179805134,496788.52695167286,497634.21231766616,488340.8715814506,506726.488657845,495472.4322033898,517605.3479623824,518571.4470266576,500575.8101545254,501546.865942029,525975.2387152778,518600.379245283,542361.3610286844,528447.3820803296,537859.1585144928,503783.42750929366,512939.9339339339,544671.7123633305,546352.284786642,528708.2990566038,534940.424498416,560407.4682814302,517976.90249702736,568116.343030303,552714.1253229975,589799.5625,599695.2900763359,598586.7760869565,610464.2004454343,583139.5119705341
394404,10,"Boston, MA",msa,MA,819790.4293193717,766447.7704938271,753566.6515151515,807701.2631578947,802376.2618025751,876356.1896296297,811876.0927835051,927669.6280645161,939739.5960264901,941843.5088741722,922836.8264335665,993913.0236220473,819738.0009929078,721208.8165137614,871142.2563975155,973277.3071895425,943226.5729166666,885443.9715909091,1050452.0061728396,976175.4444444445,867246.3464566929,978825.5628225806,964204.9917355372,932005.0962962963,961263.9327731093,911191.0,909885.6666666666,1035145.6165413534,866545.4255319149,935947.7614213198,1137090.0497512438,1123167.386010101,1015900.6121212121,1081286.8353658537,1096531.1179865773,1100341.380116959,1001450.9933783782,1124646.3737962963,1105727.901321839,1113720.8387074831,1028832.687077922,1022016.4357142857,1275862.6451612904,1062076.0791851853,1239469.8279831933,1115012.8896850394,1148765.6449579832,1288475.2882352942,1090504.7081967213,1336199.785046729,1069838.6484375,1217989.1979508197,1285186.4888888889,1413998.615100671,1405100.8230088495,1418658.2651515151,1347746.888888889,1553008.256198347,1435390.625,1370483.7410714286,1272187.077669903,1221303.6949152541,1278875.0495652175,1372798.939849624,1433440.549019608,1308734.2592592593,1479045.831932773,1561548.0425531915,1384715.1504424778,1552779.2685185184,1322315.1758241758,1393523.460176991,1480327.1444444444,1448460.036585366,1545896.9253731344,1739600.278983051,1711282.768067227,1573707.966190476,1628809.1165048543,1694732.3529411764,1386264.263888889,1721884.450980392,1878303.2588636363,1724535.8152173914,1784351.7366279068,1799669.2714285713,1712117.311764706
